server_type,cooling_type,datacenter_region,time_of_day,workload_intensity,cpu_utilization,memory_utilization,network_throughput_gbps,inlet_temperature_c,cooling_efficiency,power_consumption_kw,carbon_emission_kg,compute_cost_usd,pue,energy_efficiency_class
Compute,Air,ME,Peak,0.457,37.939,71.217,8.642,22.792,0.941,112.444,57.526,4.982,1.231,High
Compute,Hybrid,EU,Peak,0.62,46.341,77.154,15.922,28.294,0.791,95.452,26.111,17.153,1.69,Low
Storage,Air,NA,Off-Peak,0.196,18.714,51.813,8.474,26.239,0.733,43.394,15.38,4.538,1.715,Low
Compute,Air,NA,Peak,0.378,33.38,53.723,14.56,31.009,0.862,74.976,29.105,9.219,1.627,Low
Compute,Liquid,NA,Peak,0.674,53.832,65.67,13.504,20.372,0.985,70.756,28.787,9.07,1.266,High
Compute,Air,NA,Peak,0.19,17.947,64.096,4.633,21.447,0.959,65.705,26.798,8.055,1.444,Medium
Edge,Air,APAC,Night,0.222,19.824,52.72,21.772,15.0,0.723,59.394,32.153,4.803,1.474,Medium
GPU,Liquid,EU,Peak,0.56,44.543,64.429,15.402,24.719,0.874,100.656,23.573,17.782,1.548,Medium
Compute,Liquid,EU,Peak,0.661,57.234,45.644,27.716,21.864,0.936,87.517,24.512,15.84,1.469,Medium
Storage,Hybrid,NA,Off-Peak,0.268,24.216,62.757,17.575,20.966,0.765,39.209,14.466,4.909,1.572,Low
Storage,Air,EU,Off-Peak,0.13,15.214,47.846,6.567,20.302,0.906,53.653,13.151,9.433,1.426,Medium
Storage,Liquid,NA,Night,0.963,77.013,78.144,13.621,19.324,1.0,108.268,44.144,12.382,1.416,High
Storage,Air,NA,Peak,0.125,14.788,64.275,19.973,24.953,0.836,34.8,15.777,4.049,1.195,High
Storage,Air,EU,Night,0.102,14.2,69.458,6.27,21.269,0.906,57.84,14.935,11.418,1.223,High
Compute,Liquid,NA,Off-Peak,0.391,36.168,60.791,9.1,15.0,0.925,63.378,25.087,7.335,1.237,High
Compute,Air,EU,Peak,0.3,27.332,51.685,11.291,28.846,0.983,60.327,14.616,10.753,1.704,Low
Storage,Air,APAC,Night,0.616,53.255,89.327,11.744,20.322,0.859,51.909,26.439,2.74,1.258,High
GPU,Air,NA,Off-Peak,0.905,68.056,88.758,29.177,22.327,0.798,139.278,55.043,16.614,1.37,Medium
Storage,Liquid,APAC,Off-Peak,0.533,42.065,63.77,12.493,19.249,0.796,110.857,68.007,9.006,1.603,Low
GPU,Hybrid,NA,Night,0.796,58.6,86.564,16.044,21.082,0.924,105.383,41.899,12.182,1.064,High
Edge,Liquid,NA,Off-Peak,0.918,69.804,82.87,13.769,18.765,0.822,80.602,32.426,8.909,1.825,Low
Compute,Air,EU,Peak,0.27,23.273,85.765,6.468,26.141,0.773,46.745,11.437,8.165,1.428,Medium
Storage,Liquid,EU,Night,0.539,49.536,76.231,9.337,15.0,0.808,127.762,32.068,22.881,1.308,High
Storage,Liquid,NA,Peak,0.678,53.952,73.883,36.592,20.585,1.0,63.539,27.402,7.182,1.41,High
Edge,Air,APAC,Off-Peak,0.399,36.273,57.295,7.35,23.588,0.921,39.243,23.04,2.863,1.35,High
Edge,Air,ME,Peak,0.766,60.329,74.734,14.696,24.178,0.811,66.512,37.376,3.278,1.38,Medium
Storage,Air,NA,Peak,0.735,63.887,57.498,11.272,28.967,0.777,56.492,25.658,7.551,1.607,Low
Compute,Air,APAC,Off-Peak,0.479,49.077,79.166,7.015,21.561,0.911,82.041,48.658,6.696,1.242,High
GPU,Hybrid,EU,Off-Peak,0.179,21.926,47.451,5.468,23.347,0.816,83.189,19.712,14.879,1.53,Medium
Compute,Air,ME,Off-Peak,0.11,11.243,66.395,23.164,22.711,0.819,72.844,36.388,2.425,1.721,Low
GPU,Air,NA,Night,0.432,45.774,61.401,15.42,22.813,0.682,104.157,39.151,12.653,1.428,Medium
Edge,Hybrid,APAC,Peak,0.174,27.111,69.273,23.715,26.367,0.842,57.553,32.873,4.327,1.571,Low
Compute,Hybrid,NA,Off-Peak,0.803,65.16,83.333,12.216,23.042,0.753,85.528,35.777,9.924,1.52,Low
Storage,Liquid,APAC,Off-Peak,0.401,39.426,71.297,14.111,16.023,0.972,58.11,33.865,4.324,1.572,Medium
Storage,Air,EU,Off-Peak,0.699,62.626,68.211,9.118,24.534,0.867,71.8,19.528,13.509,1.529,Medium
Storage,Air,NA,Off-Peak,0.412,33.646,72.44,12.771,25.092,0.829,46.66,17.886,5.867,1.317,High
Compute,Air,NA,Peak,0.816,61.223,54.358,23.71,25.109,0.816,119.204,47.613,15.212,1.522,Medium
GPU,Air,APAC,Off-Peak,0.9,72.001,94.383,16.36,22.552,0.748,107.445,63.5,7.755,1.583,Low
Edge,Air,EU,Off-Peak,0.854,63.392,86.729,19.077,25.838,0.907,71.123,17.635,13.434,1.753,Low
Edge,Liquid,NA,Peak,0.536,41.191,48.744,16.153,18.77,0.936,49.939,16.678,5.262,1.491,Medium
Compute,Air,EU,Off-Peak,0.176,24.326,80.124,7.955,21.509,0.811,77.613,20.256,13.704,1.509,Medium
GPU,Air,APAC,Peak,0.435,35.141,35.113,5.662,25.917,0.946,91.921,52.776,7.217,1.566,Medium
GPU,Air,NA,Night,0.482,43.719,74.188,24.325,23.091,0.805,94.619,39.788,11.382,1.452,Medium
Compute,Liquid,NA,Off-Peak,0.964,68.273,60.883,17.899,18.133,0.875,82.267,33.43,10.72,1.351,High
Compute,Liquid,ME,Peak,0.609,52.491,67.769,10.626,25.136,0.896,67.269,37.384,3.341,1.557,Medium
Compute,Liquid,NA,Peak,0.677,66.812,75.856,24.327,15.0,0.942,65.722,25.791,7.923,1.096,High
Edge,Air,NA,Off-Peak,0.804,75.73,88.615,15.467,21.387,0.688,78.565,30.633,8.669,1.691,Low
Storage,Air,NA,Off-Peak,0.611,49.151,68.219,11.631,21.517,0.731,63.259,25.816,7.176,1.421,Medium
GPU,Air,APAC,Night,0.639,55.587,62.839,12.755,20.961,0.921,105.277,65.776,7.938,1.337,High
Compute,Air,NA,Peak,0.321,29.801,45.277,17.121,25.294,0.842,94.126,35.794,11.183,1.589,Low
GPU,Hybrid,EU,Peak,0.153,21.824,60.787,4.193,27.834,0.92,127.472,31.977,22.626,1.709,Low
Compute,Hybrid,APAC,Night,0.749,61.626,50.808,10.49,15.0,0.812,70.173,44.75,5.191,1.44,Medium
Compute,Liquid,NA,Peak,0.864,65.918,83.493,17.837,22.243,1.0,77.997,33.719,8.949,1.245,High
Storage,Hybrid,APAC,Off-Peak,0.471,50.889,67.569,12.784,23.703,0.847,81.079,47.817,7.665,1.26,High
Compute,Liquid,EU,Peak,0.594,0.905,73.786,20.986,23.077,0.991,67.129,19.547,12.957,1.401,High
GPU,Air,EU,Off-Peak,0.377,33.82,78.131,6.601,20.574,0.917,88.504,22.196,14.386,1.322,High
Compute,Hybrid,NA,Peak,0.505,55.979,74.101,11.956,23.521,0.876,71.967,31.528,8.116,1.519,Medium
Storage,Air,EU,Off-Peak,0.288,20.975,79.966,19.955,23.278,0.633,62.42,13.278,10.59,1.665,Low
Storage,Liquid,NA,Off-Peak,0.784,0.948,61.876,28.588,18.307,1.0,66.285,28.716,7.401,1.117,High
Storage,Air,NA,Night,0.543,46.781,67.234,11.758,23.987,0.822,65.938,25.865,8.897,1.485,Medium
Compute,Air,ME,Peak,0.592,52.923,53.324,7.872,30.515,0.78,72.833,35.39,3.456,1.918,Low
Compute,Liquid,NA,Peak,0.133,26.082,37.885,10.412,19.508,1.0,64.268,25.767,6.822,1.621,Medium
Edge,Air,APAC,Peak,0.66,59.542,59.635,20.742,25.389,0.979,96.149,57.292,7.612,1.31,High
Compute,Air,NA,Night,0.282,34.005,59.7,6.538,17.226,0.753,77.489,34.706,9.941,1.22,High
GPU,Air,NA,Off-Peak,0.445,38.21,72.969,7.137,22.64,0.778,117.261,48.328,14.614,1.549,Low
Edge,Air,APAC,Off-Peak,0.471,42.79,63.376,12.001,21.197,0.725,48.518,25.812,4.077,1.754,Low
Compute,Hybrid,NA,Peak,0.504,44.295,74.995,10.885,27.269,0.935,71.102,27.959,9.023,1.417,High
Compute,Liquid,APAC,Off-Peak,0.305,22.929,92.127,5.448,23.29,1.0,75.509,50.258,6.598,1.359,High
Storage,Air,EU,Peak,0.865,65.118,57.061,17.771,22.808,0.939,89.94,22.606,16.327,1.242,High
Edge,Air,NA,Peak,0.485,38.086,73.035,7.842,24.31,0.949,39.311,14.387,4.065,1.515,Medium
Edge,Hybrid,EU,Off-Peak,0.651,50.307,55.124,12.606,18.943,0.843,102.386,24.935,18.306,1.452,Medium
Storage,Air,NA,Peak,0.653,59.502,82.19,31.481,25.698,0.966,72.13,28.517,9.514,1.511,Medium
GPU,Air,NA,Off-Peak,0.646,54.172,78.428,15.553,25.094,0.95,129.562,53.989,15.415,1.397,High
Compute,Air,APAC,Night,0.603,60.064,43.536,14.418,19.166,0.715,80.753,46.383,6.416,1.565,Low
Edge,Hybrid,NA,Night,0.84,63.974,63.341,13.708,17.517,0.797,52.162,19.714,5.68,1.071,High
Edge,Air,NA,Off-Peak,0.831,66.417,98.0,10.522,27.226,0.908,63.327,26.83,6.792,1.326,High
Compute,Air,APAC,Peak,0.475,41.025,43.281,8.898,24.484,0.603,49.483,27.902,3.612,1.409,Medium
Compute,Air,APAC,Off-Peak,0.672,52.257,48.75,9.35,20.158,0.808,68.341,43.031,4.998,1.631,Low
Compute,Air,EU,Peak,0.193,15.717,67.825,8.138,26.238,0.934,44.782,9.281,7.837,1.645,Low
Compute,Liquid,EU,Peak,0.182,30.44,58.392,16.344,18.631,1.0,58.417,16.097,10.623,1.277,High
GPU,Air,EU,Off-Peak,0.532,40.997,45.988,17.85,21.825,0.832,109.408,30.682,19.224,1.428,Medium
Compute,Air,EU,Night,0.91,70.057,84.171,31.225,20.723,0.683,70.321,13.423,12.756,1.461,Medium
Compute,Air,EU,Peak,0.685,50.591,81.828,10.214,23.587,0.821,77.518,22.776,13.986,1.646,Low
Compute,Air,ME,Peak,0.702,57.842,44.44,28.367,28.125,0.638,64.364,26.469,4.482,1.905,Low
Edge,Hybrid,NA,Off-Peak,0.242,0.397,91.254,5.803,23.551,0.943,44.303,16.1,5.765,1.55,Medium
Storage,Hybrid,EU,Peak,0.508,39.491,80.295,14.74,24.193,0.907,59.8,14.718,10.84,1.596,Low
Storage,Air,APAC,Off-Peak,0.461,40.194,69.176,16.551,21.789,0.877,61.725,39.124,4.201,1.573,Low
Compute,Air,EU,Peak,0.805,61.541,58.216,20.328,37.829,0.872,87.014,22.515,15.848,1.562,Low
Edge,Air,APAC,Peak,0.224,25.658,49.457,8.698,26.694,0.954,46.599,30.345,3.778,1.496,Medium
GPU,Liquid,NA,Off-Peak,0.585,49.908,50.848,36.447,19.089,0.984,97.193,38.287,11.416,1.249,High
Compute,Liquid,NA,Night,0.92,80.967,51.573,15.276,20.382,1.0,87.465,35.363,10.403,1.731,Low
Compute,Air,APAC,Off-Peak,0.903,74.367,76.518,27.377,23.424,0.985,96.684,56.153,7.828,1.313,High
Compute,Liquid,NA,Night,0.867,65.675,69.44,14.604,17.491,1.0,100.712,37.614,12.588,1.302,High
Compute,Liquid,APAC,Peak,0.437,38.573,77.558,17.474,20.625,1.0,74.282,42.768,5.838,1.514,Medium
Storage,Hybrid,NA,Night,0.947,71.442,82.619,21.745,19.303,0.916,72.632,31.79,8.851,1.278,High
Edge,Air,APAC,Peak,0.825,60.195,78.935,11.024,25.144,0.849,53.681,28.144,4.29,1.588,Low
Storage,Air,EU,Night,0.866,65.626,73.567,12.542,21.646,0.86,57.661,15.883,9.826,1.426,Medium
GPU,Air,NA,Off-Peak,0.939,76.165,61.504,14.421,21.415,0.932,126.349,51.321,14.816,1.364,High
Storage,Hybrid,EU,Peak,0.943,78.895,84.251,19.43,19.743,0.801,70.61,17.206,12.889,1.367,Medium
GPU,Liquid,EU,Peak,0.316,28.432,65.22,5.65,18.406,0.893,89.535,23.723,17.027,1.082,High
GPU,Liquid,NA,Off-Peak,0.215,28.625,57.206,2.643,22.262,0.982,212.099,84.84,25.452,1.706,Low
Compute,Air,EU,Peak,0.722,58.531,63.236,10.51,24.584,0.887,79.162,20.682,14.409,1.591,Low
Compute,Air,EU,Night,0.607,45.202,64.343,46.607,19.69,0.844,85.703,23.319,15.541,1.563,Low
Storage,Air,NA,Peak,0.395,31.943,47.987,11.05,27.13,0.931,48.938,21.245,5.897,1.503,Medium
Compute,Liquid,APAC,Peak,0.716,64.134,88.493,19.224,19.777,1.0,72.531,43.749,5.14,1.175,High
Compute,Air,NA,Peak,0.156,17.168,32.409,5.615,24.563,0.935,62.147,24.833,6.769,1.557,Medium
Storage,Air,NA,Peak,0.142,28.495,60.221,6.033,22.685,0.85,78.276,30.979,8.699,1.497,Medium
Edge,Liquid,EU,Off-Peak,0.419,39.914,64.272,28.025,20.62,0.969,50.829,10.037,9.556,1.415,High
Storage,Air,EU,Off-Peak,0.274,37.752,66.9,13.135,20.632,0.888,46.181,12.406,8.959,1.319,High
GPU,Air,ME,Night,0.747,58.12,62.71,13.779,16.251,0.867,109.955,57.767,5.173,1.135,High
Storage,Air,NA,Peak,0.953,74.094,77.347,24.699,28.887,0.802,87.878,34.346,11.468,1.67,Low
GPU,Hybrid,NA,Night,0.695,59.516,86.368,15.33,17.796,0.844,117.938,46.322,14.359,1.128,High
Storage,Liquid,NA,Peak,0.689,62.045,59.658,10.963,18.94,0.878,65.439,24.529,8.199,1.533,Medium
GPU,Hybrid,APAC,Night,0.106,15.312,74.59,10.138,18.977,0.963,73.125,44.611,5.969,1.205,High
Storage,Air,EU,Peak,0.561,54.816,64.62,12.833,20.148,0.878,83.201,23.716,14.152,1.66,Low
Storage,Hybrid,APAC,Off-Peak,0.835,65.595,79.238,9.799,23.525,0.883,76.561,46.63,5.688,1.168,High
Storage,Hybrid,NA,Off-Peak,0.689,55.224,49.29,14.678,17.657,0.649,69.268,28.583,8.752,1.272,High
Storage,Liquid,APAC,Peak,0.305,27.043,76.588,7.042,19.175,1.0,49.456,27.338,3.336,1.272,High
Compute,Hybrid,EU,Peak,0.864,69.07,98.0,26.971,22.061,0.99,102.953,28.376,18.833,1.699,Low
Compute,Air,ME,Off-Peak,0.968,75.729,60.141,21.601,21.504,0.913,85.095,41.082,4.878,1.382,High
Compute,Air,NA,Peak,0.351,28.251,58.613,11.951,24.203,0.745,74.049,29.729,8.85,1.5,Low
GPU,Air,EU,Off-Peak,0.286,39.19,77.311,12.729,25.306,0.893,102.297,26.973,19.376,1.587,Low
Compute,Liquid,APAC,Off-Peak,0.405,31.605,47.411,7.785,22.696,1.0,71.362,44.643,5.738,1.369,High
Compute,Liquid,EU,Off-Peak,0.157,21.54,70.558,13.889,23.583,1.0,58.707,16.488,10.794,1.516,Medium
GPU,Liquid,NA,Night,0.886,73.347,56.145,28.113,15.841,0.814,112.068,44.158,13.531,1.345,High
Compute,Air,ME,Peak,0.936,72.753,63.598,31.032,23.84,0.827,79.381,41.957,4.008,1.73,Low
Storage,Air,NA,Peak,0.67,61.727,77.796,11.828,22.917,0.823,74.104,31.395,8.782,1.288,High
Compute,Air,NA,Peak,0.788,61.495,89.995,9.439,22.417,0.95,98.767,44.882,11.274,1.272,High
Edge,Liquid,EU,Off-Peak,0.702,56.388,81.779,11.404,16.783,0.96,66.817,15.427,12.906,1.283,High
GPU,Air,EU,Night,0.44,37.436,68.864,10.543,15.0,0.921,111.795,27.405,19.55,1.303,High
GPU,Hybrid,APAC,Night,0.669,62.837,56.339,11.369,22.365,0.706,120.062,72.284,10.43,1.749,Low
Storage,Air,NA,Night,0.853,62.006,72.928,18.817,15.69,0.701,76.427,31.811,9.222,1.367,Medium
GPU,Air,EU,Night,0.829,69.089,68.552,13.364,25.02,0.676,101.678,28.763,17.786,1.557,Low
Compute,Hybrid,EU,Night,0.173,30.268,66.482,4.417,18.509,0.993,72.243,18.6,13.027,1.387,High
Compute,Air,NA,Peak,0.516,51.155,65.839,23.534,22.1,0.704,71.051,30.243,8.55,1.643,Low
Compute,Air,ME,Night,0.458,48.826,56.888,11.102,15.411,0.918,70.4,33.216,3.829,1.348,High
Storage,Air,APAC,Off-Peak,0.777,56.537,81.087,8.685,24.475,0.586,65.318,37.589,5.245,1.725,Low
Storage,Air,EU,Peak,0.551,51.952,62.398,12.186,19.959,0.841,77.869,21.707,14.431,1.508,Medium
Storage,Hybrid,NA,Peak,0.415,36.273,53.23,8.578,21.101,0.903,49.467,17.738,6.101,1.399,High
Compute,Liquid,ME,Peak,0.736,67.292,69.955,17.594,23.616,0.917,69.489,39.526,4.272,1.359,High
Storage,Air,NA,Off-Peak,0.526,43.671,54.169,11.371,22.328,0.852,50.114,20.214,5.48,1.282,High
GPU,Liquid,NA,Off-Peak,0.331,35.876,50.875,11.868,17.325,0.88,85.097,36.354,10.376,1.204,High
Storage,Air,NA,Peak,0.901,70.599,90.791,28.178,24.742,0.881,63.41,28.485,6.953,1.637,Low
GPU,Liquid,NA,Off-Peak,0.202,25.831,40.881,7.648,22.073,0.944,106.699,41.431,11.994,1.707,Low
Compute,Hybrid,APAC,Peak,0.116,11.916,80.977,4.864,21.512,0.937,52.597,30.81,4.467,1.364,High
GPU,Hybrid,EU,Night,0.23,25.649,77.756,6.833,19.315,0.879,84.698,21.988,13.712,1.409,Medium
Storage,Air,ME,Off-Peak,0.247,25.433,40.901,11.045,25.252,0.666,70.192,35.939,3.07,1.597,Low
Compute,Air,NA,Night,0.584,47.067,70.171,6.726,18.939,0.754,115.012,45.632,13.92,1.51,Low
Compute,Air,EU,Peak,0.662,56.125,73.378,33.561,23.162,0.918,87.123,23.457,15.22,1.198,High
Storage,Liquid,ME,Night,0.504,43.402,67.058,9.869,17.998,0.987,53.075,22.473,2.56,1.269,High
GPU,Liquid,APAC,Peak,0.284,22.31,58.895,20.49,21.393,1.0,93.363,51.817,7.896,1.317,High
Storage,Air,APAC,Off-Peak,0.219,20.146,53.466,8.691,26.96,0.773,37.281,19.421,3.323,1.355,Medium
Compute,Hybrid,NA,Off-Peak,0.543,44.236,54.287,13.906,19.052,0.76,70.54,29.508,8.635,1.448,Medium
GPU,Air,APAC,Off-Peak,0.609,43.716,60.325,9.285,21.586,0.942,98.712,61.111,8.031,1.55,Medium
Storage,Air,NA,Night,0.374,31.666,81.146,10.764,20.093,0.859,51.271,20.541,6.109,1.443,Medium
Storage,Air,EU,Off-Peak,0.298,38.187,84.678,17.212,19.366,0.877,57.052,15.717,9.937,1.552,Medium
Storage,Air,EU,Night,0.173,25.962,28.624,15.835,20.053,0.804,77.39,21.121,13.284,1.395,Medium
Compute,Air,EU,Peak,0.124,23.582,58.024,18.759,27.694,0.89,61.6,16.499,11.003,1.433,Medium
Storage,Liquid,APAC,Peak,0.195,16.428,59.891,21.205,18.215,0.992,54.363,31.695,4.203,1.161,High
Compute,Air,EU,Off-Peak,0.768,58.941,74.303,22.142,24.178,0.79,119.299,29.948,21.574,1.662,Low
Edge,Air,NA,Peak,0.41,33.034,58.107,13.059,24.591,0.771,81.961,33.414,10.647,1.775,Low
Storage,Liquid,EU,Night,0.125,15.224,67.652,4.176,15.0,0.955,50.607,13.606,8.87,1.068,High
Storage,Air,EU,Off-Peak,0.557,50.857,83.339,9.697,21.741,0.9,85.372,19.218,15.754,1.674,Low
Storage,Liquid,NA,Off-Peak,0.582,42.437,78.9,14.178,17.616,0.955,73.368,27.807,8.579,1.465,Medium
Edge,Air,NA,Off-Peak,0.486,44.121,29.963,13.618,22.485,0.882,62.701,26.087,7.814,1.734,Low
GPU,Liquid,NA,Off-Peak,0.2,22.032,58.53,13.316,18.729,0.817,95.654,37.928,11.475,1.647,Low
Storage,Hybrid,EU,Peak,0.779,56.919,64.791,15.33,23.586,0.886,63.582,12.843,10.495,1.227,High
GPU,Air,ME,Off-Peak,0.72,53.081,64.102,21.272,27.195,0.947,110.637,56.128,5.915,1.636,Low
Storage,Liquid,NA,Off-Peak,0.455,44.139,66.765,13.204,15.0,1.0,63.685,26.184,8.155,1.132,High
Storage,Hybrid,EU,Night,0.443,34.044,42.267,18.639,16.173,0.991,61.059,12.274,11.048,1.352,High
Compute,Liquid,APAC,Peak,0.24,21.359,89.273,13.635,23.378,0.745,43.649,26.659,3.137,1.61,Low
Storage,Air,NA,Off-Peak,0.778,76.794,98.0,25.546,25.695,0.875,75.577,31.007,8.712,1.634,Low
Compute,Air,ME,Peak,0.64,56.837,76.073,11.395,25.183,0.784,80.911,41.934,5.167,1.576,Low
Edge,Liquid,NA,Peak,0.177,14.117,53.54,8.641,18.802,0.797,69.369,32.19,8.412,1.379,Medium
Compute,Hybrid,APAC,Off-Peak,0.44,1.284,79.007,20.41,15.0,0.82,91.258,56.353,8.209,1.574,Low
Edge,Air,NA,Peak,0.913,67.637,64.84,17.215,25.826,0.873,63.853,25.906,7.551,1.454,Medium
Storage,Air,NA,Off-Peak,0.507,37.153,86.151,11.545,26.302,0.642,78.09,29.983,9.469,1.776,Low
Storage,Air,NA,Off-Peak,0.392,39.004,94.493,12.557,27.124,0.828,111.21,44.525,14.394,1.463,Medium
Storage,Air,NA,Peak,0.679,51.94,68.228,26.883,37.386,0.663,76.316,29.142,8.778,1.43,Medium
Compute,Air,APAC,Off-Peak,0.283,22.788,72.723,14.651,23.727,0.84,88.014,52.054,7.326,1.411,Medium
Compute,Air,NA,Peak,0.571,45.302,84.387,20.055,25.078,0.709,71.963,29.787,9.199,1.416,Medium
Compute,Air,EU,Night,0.703,55.742,63.466,12.449,16.713,0.817,61.037,13.617,11.104,1.159,High
Storage,Air,NA,Peak,0.869,72.545,67.96,23.095,25.668,0.741,79.598,31.775,9.699,1.709,Low
Storage,Hybrid,APAC,Peak,0.723,56.826,64.692,12.119,17.081,0.87,173.374,104.024,13.87,1.48,Medium
GPU,Air,APAC,Off-Peak,0.446,46.397,73.822,6.068,22.194,0.852,97.376,57.738,8.135,1.71,Low
Compute,Air,EU,Night,0.791,58.062,68.088,25.91,23.436,0.767,77.819,19.026,15.003,1.496,Medium
Compute,Air,NA,Night,0.909,76.139,68.093,15.503,24.291,0.722,82.121,30.951,10.543,1.868,Low
Storage,Hybrid,EU,Peak,0.53,40.884,95.969,20.672,22.604,0.795,66.912,17.378,11.861,1.483,Medium
Edge,Liquid,NA,Peak,0.104,11.29,57.367,2.938,26.701,0.903,65.724,30.427,7.851,1.635,Low
GPU,Liquid,NA,Off-Peak,0.893,73.294,67.28,13.991,17.669,0.919,125.949,50.157,14.6,1.42,Medium
Storage,Air,EU,Night,0.249,23.668,80.384,15.329,16.96,0.804,57.566,17.668,11.337,1.709,Low
Storage,Hybrid,ME,Peak,0.214,31.133,53.357,2.779,25.615,0.943,58.406,32.477,2.707,1.495,Medium
Compute,Air,APAC,Off-Peak,0.377,42.529,68.934,8.391,23.471,0.946,67.491,42.091,6.122,1.575,Medium
Edge,Air,EU,Peak,0.442,36.504,64.639,10.529,21.475,0.863,56.721,9.797,9.697,1.4,Medium
Storage,Liquid,EU,Peak,0.819,63.746,73.583,10.996,20.759,0.778,70.458,15.31,12.936,1.34,High
Compute,Hybrid,ME,Off-Peak,0.45,41.585,28.303,22.98,19.934,0.77,83.309,45.312,3.723,1.563,Low
Storage,Liquid,EU,Peak,0.144,18.597,64.499,12.802,25.378,1.0,58.409,11.804,10.985,1.514,Medium
Compute,Hybrid,EU,Peak,0.672,62.768,81.099,20.144,25.272,0.705,80.199,20.519,14.234,1.542,Low
Edge,Hybrid,ME,Peak,0.704,50.639,81.761,9.245,20.83,0.861,67.504,32.199,3.656,1.491,Medium
Compute,Air,NA,Off-Peak,0.833,71.89,98.0,13.664,23.083,0.869,84.258,35.629,10.319,1.181,High
Storage,Air,NA,Peak,0.459,38.069,51.354,13.547,23.243,0.694,50.014,21.687,5.872,1.685,Low
Compute,Air,EU,Off-Peak,0.177,18.97,44.438,5.821,27.119,0.83,60.804,14.713,11.341,1.632,Low
GPU,Hybrid,NA,Night,0.598,56.096,79.043,12.273,17.286,0.932,110.174,46.064,13.694,1.233,High
GPU,Air,NA,Peak,0.209,16.456,48.727,7.711,22.674,0.951,99.978,39.482,12.244,1.729,Low
Storage,Hybrid,EU,Off-Peak,0.115,20.755,78.933,3.353,17.81,0.871,91.055,18.331,15.916,1.334,High
Storage,Air,EU,Night,0.801,67.998,81.606,11.159,22.768,0.848,106.521,27.266,19.692,1.746,Low
GPU,Air,ME,Peak,0.463,41.139,74.146,27.883,35.692,0.918,102.449,53.976,5.425,1.858,Low
Compute,Air,NA,Peak,0.573,48.2,69.897,28.026,22.752,0.792,72.026,28.937,8.784,1.624,Low
Compute,Air,NA,Peak,0.697,57.269,67.042,16.287,22.716,0.861,104.248,43.187,12.736,1.419,Medium
Compute,Hybrid,NA,Off-Peak,0.461,1.264,75.258,17.916,27.061,0.838,68.825,30.809,7.235,1.661,Low
Edge,Air,EU,Off-Peak,0.146,24.479,70.417,3.232,26.841,0.897,39.425,13.607,7.133,1.378,High
Compute,Air,APAC,Peak,0.327,31.083,69.761,15.886,25.058,0.859,55.905,30.016,3.296,1.557,Low
GPU,Air,EU,Night,0.275,32.223,59.032,9.692,23.621,0.756,124.741,34.153,22.497,2.267,Low
Storage,Air,NA,Off-Peak,0.98,73.634,49.146,27.407,21.837,0.783,63.309,26.56,8.473,1.28,High
Compute,Air,EU,Peak,0.766,60.057,64.662,12.169,25.104,0.823,87.139,17.642,15.884,1.711,Low
Compute,Air,EU,Off-Peak,0.506,43.064,61.823,22.33,26.235,0.766,73.269,23.369,13.366,1.496,Medium
Compute,Hybrid,NA,Peak,0.157,23.756,67.703,23.995,23.258,0.966,66.585,29.22,8.465,1.433,High
Storage,Air,EU,Off-Peak,0.204,25.958,85.279,9.649,19.587,0.736,80.961,20.016,14.648,1.642,Low
Compute,Air,EU,Peak,0.832,63.515,51.669,11.086,23.026,0.845,82.874,20.912,15.102,1.622,Low
Compute,Liquid,ME,Off-Peak,0.951,84.812,67.071,18.184,19.84,0.971,94.55,47.66,4.446,1.05,High
GPU,Air,APAC,Peak,0.128,16.322,48.502,2.325,26.912,0.868,71.466,44.399,5.802,1.656,Low
Edge,Air,APAC,Off-Peak,0.919,74.355,60.627,14.793,27.233,0.888,69.853,41.196,5.689,1.437,Medium
Compute,Liquid,APAC,Peak,0.443,44.783,71.552,8.743,18.282,1.0,73.768,41.807,5.076,1.437,High
Compute,Air,APAC,Off-Peak,0.292,23.477,70.843,5.64,24.358,0.946,77.048,44.255,6.66,1.535,Medium
Compute,Liquid,ME,Peak,0.192,23.029,58.031,11.391,18.209,0.764,62.835,33.42,2.936,1.437,Medium
Storage,Air,NA,Peak,0.795,66.36,81.6,12.08,21.775,0.875,75.34,28.785,8.783,1.294,High
GPU,Liquid,EU,Peak,0.522,40.7,98.0,10.365,21.649,0.818,90.749,19.806,16.111,1.635,Low
Compute,Hybrid,APAC,Peak,0.849,71.315,81.05,9.286,19.561,0.897,104.432,64.366,7.31,1.475,Medium
Compute,Air,EU,Off-Peak,0.304,33.757,32.564,6.632,22.541,0.742,60.376,15.085,9.959,1.51,Low
GPU,Air,NA,Night,0.711,55.024,76.249,27.218,20.202,0.851,117.526,47.801,14.124,1.208,High
Storage,Air,NA,Off-Peak,0.206,29.658,66.668,16.431,20.671,0.878,64.593,26.31,7.854,1.401,Medium
Compute,Air,NA,Night,0.181,20.992,46.558,14.464,23.314,0.737,45.887,17.971,5.921,1.814,Low
Storage,Hybrid,NA,Peak,0.22,27.77,63.237,25.806,21.883,0.909,52.972,16.333,5.881,1.496,Medium
Compute,Liquid,NA,Peak,0.828,62.097,81.072,23.201,20.048,0.898,108.503,46.94,12.359,1.136,High
